% nhãn,n_labeled,Supervised-only PR-AUC,SelfTraining PR-AUC,Supervised-only F1,SelfTraining F1
5%,33,0.3500382505913574,0.26562889396676714,0.320156862745098,0.313161176083335
10%,66,0.3363661674559243,0.3434494415046277,0.25899724566597443,0.3045096319764646
20%,133,0.38401693836475126,0.35253950251184285,0.28260689268702716,0.32449399114484506
30%,200,0.42787480435333514,0.41083248442702336,0.3140996553078232,0.3327272727272727
