Mô hình,F1 (CV),F1 std,ROC-AUC (CV),PR-AUC (CV),Thời gian (s)
Random Forest,0.37195555590982876,0.058318858085064214,0.7814079330120387,0.41954722808073186,3.75
XGBoost,0.3541190692790029,0.027923260928534453,0.7622891525519618,0.3967285908663033,5.4
SVM,0.36045939456833104,0.06955244686240118,0.7644860335422556,0.3674483500188278,3.68
Logistic Regression,0.3470444563436293,0.048504645851155055,0.7567420092565376,0.33790983797791335,3.92
