Algorithm,N_clusters,Silhouette,DBI,CHI,error
KMeans,3.0,0.1335617730110094,2.2249989654593985,126.04058303062162,
HAC,3.0,0.106092628132582,2.343187585247756,96.96691900724264,
DBSCAN,,,,,Không đủ dữ liệu
