antecedents,consequents,support,confidence,lift
"exang=True, hr=medium, sex=Male",cp=asymptomatic,0.1641,0.8728,1.619
"no_disease, sex=Female","dp=mild, fbs=False",0.1043,0.6667,1.6183
"cp=atypical angina, exang=False, no_disease",hr=high,0.1152,0.7794,1.615
"cp=asymptomatic, fbs=False, slope=flat",hr=medium,0.1228,0.6141,1.6143
"bp=prehyper, exang=False","fbs=False, no_disease",0.1696,0.619,1.6134
"age=50-60, exang=True",hr=medium,0.1,0.6133,1.6122
"fbs=False, slope=upsloping",hr=high,0.1293,0.7778,1.6116
"exang=True, unknown",cp=asymptomatic,0.1293,0.8686,1.6111
no_disease,"exang=False, fbs=False",0.3152,0.7056,1.6108
"exang=False, fbs=False",no_disease,0.3152,0.7196,1.6108
"chol=high, no_disease","dp=mild, exang=False",0.1196,0.6548,1.6106
"exang=True, sex=Male","cp=asymptomatic, fbs=False",0.1967,0.6156,1.6091
thal=normal,"fbs=False, no_disease",0.1315,0.6173,1.6089
"bp=hyper, exang=True","cp=asymptomatic, sex=Male",0.1207,0.745,1.6088
"chol=high, exang=False, fbs=False",no_disease,0.1304,0.7186,1.6085
"cp=atypical angina, exang=False",hr=high,0.1272,0.7748,1.6055
exang=True,"cp=asymptomatic, fbs=False",0.225,0.6142,1.6054
"exang=False, hr=high",no_disease,0.2641,0.7168,1.6045
"exang=True, hr=medium",cp=asymptomatic,0.1804,0.8646,1.6037
"exang=True, hr=medium, sex=Male",slope=flat,0.113,0.6012,1.6031
"fbs=False, hr=high, no_disease",dp=mild,0.2087,0.8101,1.6028
"bp=prehyper, hr=high, no_disease",exang=False,0.137,0.9197,1.6025
"hr=high, thal=normal","dp=mild, exang=False",0.1033,0.6507,1.6006
"exang=False, sex=Female","fbs=False, hr=high",0.1,0.6174,1.6002
"cp=atypical angina, dp=mild, no_disease",hr=high,0.1065,0.7717,1.5989
"fbs=False, thal=normal",hr=high,0.1391,0.7711,1.5977
"dp=mild, no_disease, sex=Female",exang=False,0.1076,0.9167,1.5972
"exang=True, thal=reversable defect",cp=asymptomatic,0.1011,0.8611,1.5972
"dp=mild, fbs=False, no_disease",exang=False,0.263,0.9167,1.5972
"exang=False, no_disease",dp=mild,0.2946,0.8065,1.5958
"bp=prehyper, no_disease, sex=Male",dp=mild,0.1087,0.8065,1.5956
"cp=asymptomatic, sex=Male, slope=flat",hr=medium,0.1326,0.607,1.5955
"exang=True, fbs=False, hr=medium",cp=asymptomatic,0.1337,0.8601,1.5954
"hr=medium, sex=Male, slope=flat",cp=asymptomatic,0.1326,0.8592,1.5936
"chol=high, hr=high, no_disease",exang=False,0.1152,0.9138,1.5922
"exang=True, sex=Male, unknown",cp=asymptomatic,0.1185,0.8583,1.5919
"chol=high, exang=False, no_disease",hr=high,0.1152,0.7681,1.5916
"dp=mild, no_disease",exang=False,0.2946,0.9125,1.5899
"chol=high, no_disease","dp=mild, fbs=False",0.1196,0.6548,1.5894
"chol=high, dp=mild","fbs=False, hr=high",0.1207,0.6133,1.5893
"chol=high, no_disease","fbs=False, hr=high",0.112,0.6131,1.5889
"exang=True, fbs=False, slope=flat",cp=asymptomatic,0.1554,0.8563,1.5883
"dp=mild, no_disease, sex=Male",exang=False,0.187,0.9101,1.5857
"disease, hr=medium, sex=Male",cp=asymptomatic,0.1087,0.8547,1.5853
"cp=atypical angina, fbs=False, no_disease",exang=False,0.1315,0.9098,1.5852
"bp=prehyper, fbs=False, no_disease",dp=mild,0.1533,0.8011,1.585
"exang=True, slope=flat",cp=asymptomatic,0.1913,0.8544,1.5847
"no_disease, sex=Male","dp=mild, exang=False",0.187,0.6442,1.5847
"chol=high, dp=mild","fbs=False, no_disease",0.1196,0.6077,1.5839
"bp=hyper, exang=True, sex=Male",cp=asymptomatic,0.1207,0.8538,1.5837
"bp=prehyper, no_disease","fbs=False, hr=high",0.1315,0.6111,1.5837
"cp=asymptomatic, exang=True, slope=flat",hr=medium,0.1152,0.6023,1.5831
"chol=high, dp=mild, exang=False",hr=high,0.1196,0.7639,1.5828
"cp=atypical angina, fbs=False",dp=mild,0.1304,0.8,1.5828
"cp=asymptomatic, exang=True",hr=medium,0.1804,0.6014,1.581
"cp=atypical angina, no_disease",exang=False,0.1478,0.9067,1.5798
"chol=high, exang=False","fbs=False, no_disease",0.1304,0.6061,1.5795
"hr=high, thal=normal","dp=mild, fbs=False",0.1033,0.6507,1.5795
"chol=high, exang=False, no_disease",dp=mild,0.1196,0.7971,1.5771
"cp=atypical angina, dp=mild",hr=high,0.1141,0.7609,1.5766
thal=normal,no_disease,0.15,0.7041,1.576
"fbs=False, hr=medium, slope=flat",cp=asymptomatic,0.1228,0.8496,1.5759
unknown,"cp=asymptomatic, sex=Male",0.1935,0.7295,1.5755
"bp=prehyper, hr=high","dp=mild, exang=False",0.1424,0.639,1.5719
"bp=prehyper, exang=False, hr=high",dp=mild,0.1424,0.7939,1.5708
"dp=mild, fbs=False, hr=high",exang=False,0.238,0.9012,1.5703
"exang=False, fbs=False, hr=high",dp=mild,0.238,0.7935,1.5699
"exang=False, slope=upsloping",no_disease,0.1174,0.7013,1.5698
cp=atypical angina,dp=mild,0.15,0.7931,1.5692
"bp=prehyper, dp=mild",no_disease,0.1707,0.7009,1.5689
"bp=prehyper, no_disease",dp=mild,0.1707,0.7929,1.5688
"exang=True, sex=Male, slope=flat",cp=asymptomatic,0.1609,0.8457,1.5687
"hr=medium, slope=flat","cp=asymptomatic, sex=Male",0.1326,0.7262,1.5683
"exang=False, hr=high","dp=mild, fbs=False",0.238,0.646,1.5682
"hr=medium, slope=flat",cp=asymptomatic,0.1543,0.8452,1.5678
"disease, hr=medium",cp=asymptomatic,0.1174,0.8438,1.565
"chol=high, dp=mild","exang=False, fbs=False",0.1348,0.6851,1.564
"bp=prehyper, exang=False",no_disease,0.1913,0.6984,1.5634
"chol=high, dp=mild, no_disease",hr=high,0.1033,0.754,1.5623
"bp=prehyper, exang=False, fbs=False",dp=mild,0.175,0.7892,1.5615
"exang=False, thal=normal","dp=mild, fbs=False",0.1076,0.6429,1.5605
"chol=high, exang=False",no_disease,0.15,0.697,1.5601
"bp=prehyper, no_disease, sex=Male",exang=False,0.1207,0.8952,1.5598
"chol=high, exang=True, sex=Male",cp=asymptomatic,0.1033,0.8407,1.5594
"dp=mild, fbs=False",no_disease,0.287,0.6966,1.5592
no_disease,"dp=mild, fbs=False",0.287,0.6423,1.5592
"chol=high, dp=mild",no_disease,0.137,0.6961,1.5583
"cp=atypical angina, fbs=False, no_disease",hr=high,0.1087,0.7519,1.5579
exang=True,"cp=asymptomatic, sex=Male",0.2641,0.7211,1.5572
"age=40-50, dp=mild, fbs=False",exang=False,0.1185,0.8934,1.5568
"hr=high, no_disease",exang=False,0.2641,0.8934,1.5567
"hr=high, no_disease",dp=mild,0.2326,0.7868,1.5566
"hr=high, no_disease, slope=upsloping",exang=False,0.1,0.8932,1.5563
"slope=upsloping, thal=normal",exang=False,0.1,0.8932,1.5563
"bp=hyper, exang=True",cp=asymptomatic,0.1359,0.8389,1.5561
"age=50-60, dp=mild, no_disease",exang=False,0.1087,0.8929,1.5557
"exang=False, no_disease, sex=Female",dp=mild,0.1076,0.7857,1.5545
"dp=mild, hr=high",exang=False,0.2772,0.8916,1.5536
"bp=prehyper, dp=mild, hr=high",exang=False,0.1424,0.8912,1.5528
"fbs=False, unknown","cp=asymptomatic, sex=Male",0.1196,0.719,1.5527
"hr=high, slope=upsloping","dp=mild, exang=False",0.1022,0.6309,1.5519
"exang=True, slope=flat","cp=asymptomatic, sex=Male",0.1609,0.7184,1.5516
"fbs=False, hr=high, no_disease",exang=False,0.2293,0.8903,1.5513
"hr=high, no_disease, sex=Male",exang=False,0.1674,0.8902,1.5511
"chol=high, exang=False, fbs=False",hr=high,0.1359,0.7485,1.551
"bp=prehyper, exang=False","dp=mild, fbs=False",0.175,0.6389,1.5509
"age=50-60, exang=True, sex=Male",cp=asymptomatic,0.1163,0.8359,1.5505
"bp=prehyper, no_disease",exang=False,0.1913,0.8889,1.5488
"hr=medium, unknown",cp=asymptomatic,0.1043,0.8348,1.5484
"hr=high, slope=upsloping",no_disease,0.112,0.6913,1.5474
"dp=mild, hr=high, thal=normal",exang=False,0.1033,0.8879,1.547
"age=50-60, exang=False, fbs=False",no_disease,0.1141,0.6908,1.5463
"fbs=False, hr=high, slope=upsloping",dp=mild,0.1011,0.7815,1.5462
"dp=mild, sex=Female",exang=False,0.1196,0.8871,1.5457
"dp=mild, fbs=False, sex=Female",exang=False,0.1022,0.8868,1.5452
"bp=prehyper, fbs=False, no_disease",exang=False,0.1696,0.8864,1.5444
"hr=high, no_disease, sex=Male",dp=mild,0.1467,0.7803,1.5439
thal=normal,hr=high,0.1587,0.7449,1.5435
"age=50-60, exang=True","cp=asymptomatic, sex=Male",0.1163,0.7133,1.5405
"bp=hyper, exang=True, fbs=False",cp=asymptomatic,0.1011,0.8304,1.5402
"exang=False, fbs=False, sex=Male",dp=mild,0.2326,0.7782,1.5396
"dp=mild, hr=high, sex=Male",exang=False,0.1891,0.8832,1.539
thal=normal,"exang=False, fbs=False",0.1435,0.6735,1.5374
"bp=prehyper, hr=high","exang=False, fbs=False",0.15,0.6732,1.5368
"dp=mild, hr=high, sex=Male",no_disease,0.1467,0.6853,1.534
"cp=atypical angina, no_disease",hr=high,0.1207,0.74,1.5333
"cp=atypical angina, fbs=False",hr=high,0.1207,0.74,1.5333
"cp=atypical angina, fbs=False",exang=False,0.1435,0.88,1.5333
"exang=True, sex=Male",cp=asymptomatic,0.2641,0.8265,1.5331
"dp=moderate, exang=True",cp=asymptomatic,0.1087,0.8264,1.5329
"exang=True, fbs=False","cp=asymptomatic, sex=Male",0.1967,0.7098,1.5329
"exang=False, sex=Female","dp=mild, fbs=False",0.1022,0.6309,1.5314
"age=40-50, dp=mild",exang=False,0.1326,0.8777,1.5293
"fbs=False, no_disease, sex=Female",exang=False,0.1239,0.8769,1.528
"no_disease, sex=Male","dp=mild, fbs=False",0.1826,0.6292,1.5274
"age=40-50, hr=high",dp=mild,0.1065,0.7717,1.5267
"chol=high, exang=True",cp=asymptomatic,0.1261,0.8227,1.526
"chol=high, exang=False, sex=Male",hr=high,0.1033,0.7364,1.5259
"hr=high, no_disease, thal=normal",exang=False,0.1141,0.875,1.5246
"no_disease, sex=Female",exang=False,0.137,0.875,1.5246
"chol=high, exang=False, hr=high",dp=mild,0.1196,0.7692,1.5219
"age=50-60, exang=False, no_disease",dp=mild,0.1087,0.7692,1.5219
"chol=high, fbs=False, no_disease",dp=mild,0.1196,0.7692,1.5219
"dp=mild, exang=False, no_disease",hr=high,0.2163,0.7343,1.5216
"fbs=False, slope=upsloping",no_disease,0.113,0.6797,1.5216
"chol=high, dp=mild, no_disease",exang=False,0.1196,0.873,1.5212
"age=50-60, exang=True",cp=asymptomatic,0.1337,0.82,1.521
slope=upsloping,hr=high,0.162,0.734,1.5209
"chol=high, exang=False","dp=mild, fbs=False",0.1348,0.6263,1.5202
"exang=False, no_disease, sex=Male",hr=high,0.1674,0.7333,1.5195
"exang=True, fbs=False, sex=Male",cp=asymptomatic,0.1967,0.819,1.5191
exang=True,cp=asymptomatic,0.3,0.819,1.5191
"age=50-60, no_disease","dp=mild, exang=False",0.1087,0.6173,1.5185
"fbs=False, hr=high","dp=mild, exang=False",0.238,0.6169,1.5175
"bp=prehyper, exang=True, sex=Male",cp=asymptomatic,0.1022,0.8174,1.5161
"hr=high, slope=upsloping","dp=mild, fbs=False",0.1011,0.6242,1.5151
"bp=prehyper, exang=True",cp=asymptomatic,0.1207,0.8162,1.5139
ca=0.0,"exang=False, fbs=False",0.1304,0.663,1.5135
"ca=0.0, hr=high, no_disease",exang=False,0.1076,0.8684,1.5132
"chol=high, dp=mild, fbs=False",hr=high,0.1207,0.7303,1.5132
"age=50-60, dp=mild, exang=False",no_disease,0.1087,0.6757,1.5125
cp=atypical angina,exang=False,0.1641,0.8678,1.5121
dp=mild,"exang=False, fbs=False",0.3348,0.6624,1.5121
"exang=False, fbs=False",dp=mild,0.3348,0.7643,1.5121
"fbs=False, no_disease, thal=normal",exang=False,0.1141,0.8678,1.512
"cp=non-anginal, fbs=False",no_disease,0.1152,0.6752,1.5113
"age=50-60, exang=False, fbs=False",dp=mild,0.1261,0.7632,1.5099
"age=40-50, no_disease",exang=False,0.1196,0.8661,1.5092
"exang=False, fbs=False, no_disease",hr=high,0.2293,0.7276,1.5076
"dp=mild, fbs=False, no_disease",hr=high,0.2087,0.7273,1.507
sex=Female,"exang=False, fbs=False",0.1391,0.6598,1.5062
"exang=True, fbs=False",cp=asymptomatic,0.225,0.8118,1.5057
"no_disease, slope=upsloping",exang=False,0.1174,0.864,1.5055
"slope=flat, unknown",cp=asymptomatic,0.1076,0.8115,1.5052
"no_disease, sex=Male","exang=False, fbs=False",0.1913,0.6592,1.5048
"bp=prehyper, dp=mild, no_disease",hr=high,0.1239,0.7261,1.5046
"age=40-50, fbs=False, no_disease",exang=False,0.1098,0.8632,1.5041
"exang=False, hr=high, thal=normal",dp=mild,0.1033,0.76,1.5037
"no_disease, thal=normal",exang=False,0.1293,0.8623,1.5025
"cp=non-anginal, hr=high",exang=False,0.1087,0.8621,1.5021
"hr=high, slope=upsloping","exang=False, fbs=False",0.1065,0.6577,1.5015
"age=50-60, dp=mild, hr=high",exang=False,0.1011,0.8611,1.5004
"bp=prehyper, dp=mild, fbs=False",exang=False,0.175,0.861,1.5002
"exang=False, hr=high, slope=upsloping",dp=mild,0.1022,0.7581,1.4998
"exang=False, no_disease",hr=high,0.2641,0.7232,1.4986
"chol=borderline, exang=False",dp=mild,0.112,0.7574,1.4984
"fbs=False, hr=high, thal=normal",exang=False,0.1196,0.8594,1.4974
"chol=high, exang=False",hr=high,0.1554,0.7222,1.4965
"bp=prehyper, hr=high",no_disease,0.1489,0.6683,1.4959
"cp=atypical angina, sex=Male",exang=False,0.1054,0.8584,1.4957
"fbs=False, hr=high",no_disease,0.2576,0.6676,1.4944
"ca=0.0, no_disease",exang=False,0.1239,0.8571,1.4935
"dp=mild, no_disease",hr=high,0.2326,0.7205,1.493
"bp=prehyper, exang=True","cp=asymptomatic, sex=Male",0.1022,0.6912,1.4927
"chol=high, fbs=False, no_disease",hr=high,0.112,0.7203,1.4925
"age=50-60, dp=mild, fbs=False",no_disease,0.1043,0.6667,1.4923
"hr=high, thal=normal",exang=False,0.1359,0.8562,1.4918
"fbs=False, no_disease, sex=Male",dp=mild,0.1826,0.7534,1.4905
"sex=Male, slope=upsloping",hr=high,0.1141,0.7192,1.4902
"exang=False, fbs=False, sex=Female",hr=high,0.1,0.7188,1.4893
"dp=mild, hr=high, slope=upsloping",exang=False,0.1022,0.8545,1.489
cp=atypical angina,hr=high,0.1359,0.7184,1.4886
"exang=False, hr=high",dp=mild,0.2772,0.7522,1.4882
"dp=mild, fbs=False, thal=normal",exang=False,0.1076,0.8534,1.4871
"chol=high, dp=mild, hr=high",exang=False,0.1196,0.8527,1.4858
"cp=non-anginal, dp=mild",exang=False,0.113,0.8525,1.4853
"ca=0.0, thal=normal",exang=False,0.1065,0.8522,1.4848
"disease, slope=flat","cp=asymptomatic, sex=Male",0.1076,0.6875,1.4847
"bp=prehyper, exang=False",dp=mild,0.2054,0.75,1.4839
"exang=False, fbs=False, thal=normal",dp=mild,0.1076,0.75,1.4839
"no_disease, sex=Female",dp=mild,0.1174,0.75,1.4839
"chol=high, no_disease",dp=mild,0.137,0.75,1.4839
"bp=prehyper, exang=False, no_disease",hr=high,0.137,0.7159,1.4834
"age=50-60, dp=mild","exang=False, sex=Male",0.1228,0.6108,1.4827
unknown,cp=asymptomatic,0.212,0.7992,1.4824
"disease, sex=Male, slope=flat",cp=asymptomatic,0.1076,0.7984,1.4809
"dp=mild, no_disease, sex=Male",hr=high,0.1467,0.7143,1.4801
"fbs=False, no_disease",dp=mild,0.287,0.7479,1.4797
"age=50-60, no_disease","exang=False, fbs=False",0.1141,0.6481,1.4796
"ca=0.0, dp=mild",exang=False,0.1033,0.8482,1.4779
"exang=False, thal=normal",dp=mild,0.125,0.7468,1.4774
"dp=mild, hr=high","exang=False, sex=Male",0.1891,0.6084,1.4768
"chol=high, dp=mild",hr=high,0.1402,0.7127,1.4768
"ca=0.0, fbs=False, no_disease",exang=False,0.1087,0.8475,1.4766
"sex=Male, unknown",cp=asymptomatic,0.1935,0.7946,1.4739
"dp=mild, thal=normal",exang=False,0.125,0.8456,1.4734
"dp=mild, exang=False, fbs=False",hr=high,0.238,0.711,1.4733
"exang=False, hr=high, sex=Male",no_disease,0.1674,0.6581,1.4732
"chol=high, exang=False, sex=Male",dp=mild,0.1043,0.7442,1.4724
"bp=prehyper, fbs=False, hr=high",dp=mild,0.1326,0.7439,1.4718
"chol=normal, hr=medium","cp=asymptomatic, sex=Male",0.1,0.6815,1.4717
"exang=False, hr=high, sex=Male",dp=mild,0.1891,0.7436,1.4712
"chol=borderline, dp=mild",exang=False,0.112,0.8443,1.4711
"bp=prehyper, dp=mild",exang=False,0.2054,0.8438,1.4702
"chol=high, exang=False, fbs=False",dp=mild,0.1348,0.7425,1.4691
dp=severe,"cp=asymptomatic, sex=Male",0.1293,0.68,1.4685
"disease, slope=flat",cp=asymptomatic,0.1239,0.7917,1.4684
"fbs=False, hr=high, thal=normal",dp=mild,0.1033,0.7422,1.4684
"bp=prehyper, fbs=False, hr=high",exang=False,0.15,0.8415,1.4662
"cp=non-anginal, no_disease",exang=False,0.1196,0.8397,1.4631
"chol=high, fbs=False, no_disease",exang=False,0.1304,0.8392,1.4622
"fbs=False, no_disease, sex=Female",dp=mild,0.1043,0.7385,1.461
"age=40-50, dp=mild",hr=high,0.1065,0.705,1.4609
"hr=high, slope=upsloping",dp=mild,0.1196,0.7383,1.4606
"exang=False, sex=Female",dp=mild,0.1196,0.7383,1.4606
"age=50-60, exang=False, hr=high",dp=mild,0.1011,0.7381,1.4603
"exang=False, sex=Female",hr=high,0.1141,0.7047,1.4602
"bp=prehyper, exang=False, sex=Male",dp=mild,0.1435,0.7374,1.459
"dp=mild, exang=False, sex=Male",no_disease,0.187,0.6515,1.4584
"chol=high, hr=high","exang=False, fbs=False",0.1359,0.6378,1.4559
"chol=high, exang=True","cp=asymptomatic, sex=Male",0.1033,0.6738,1.4551
"fbs=False, unknown",cp=asymptomatic,0.1304,0.7843,1.4548
"exang=False, fbs=False, sex=Female",dp=mild,0.1022,0.7344,1.453
"hr=high, slope=upsloping",exang=False,0.1348,0.8322,1.4501
"hr=high, thal=normal",dp=mild,0.1163,0.7329,1.45
"age=50-60, exang=False, sex=Male",dp=mild,0.1228,0.729,1.4424
"age=40-50, exang=False",hr=high,0.112,0.6959,1.4421
"age=40-50, fbs=False",no_disease,0.1272,0.6429,1.439
"chol=high, exang=False",dp=mild,0.1565,0.7273,1.4389
"age=50-60, fbs=False, no_disease",dp=mild,0.1043,0.7273,1.4389
"bp=prehyper, dp=mild, sex=Male",exang=False,0.1435,0.825,1.4375
cp=non-anginal,no_disease,0.1424,0.6422,1.4374
"fbs=False, sex=Male, unknown",cp=asymptomatic,0.1196,0.7746,1.4368
"chol=normal, hr=high",exang=False,0.1022,0.8246,1.4367
"bp=prehyper, dp=mild, exang=False",hr=high,0.1424,0.6931,1.4362
"fbs=False, hr=high, slope=upsloping",exang=False,0.1065,0.8235,1.4349
"bp=prehyper, no_disease",hr=high,0.1489,0.6919,1.4337
"no_disease, thal=normal",dp=mild,0.1087,0.7246,1.4337
"dp=mild, sex=Male","exang=False, fbs=False",0.2326,0.6276,1.4327
"exang=False, fbs=False, sex=Male",no_disease,0.1913,0.64,1.4326
"fbs=False, no_disease",exang=False,0.3152,0.8215,1.4315
"age=50-60, dp=mild","exang=False, fbs=False",0.1261,0.627,1.4314
"fbs=False, hr=high, sex=Female",exang=False,0.1,0.8214,1.4313
"chol=high, no_disease",exang=False,0.15,0.8214,1.4313
"chol=high, no_disease",hr=high,0.1261,0.6905,1.4307
no_disease,dp=mild,0.3228,0.7226,1.4297
dp=mild,no_disease,0.3228,0.6387,1.4297
"hr=high, sex=Female",exang=False,0.1141,0.8203,1.4293
"age=50-60, exang=False",dp=mild,0.1609,0.722,1.4284
"disease, fbs=False","cp=asymptomatic, sex=Male",0.1337,0.6613,1.4281
"dp=mild, slope=upsloping",exang=False,0.1185,0.8195,1.428
"dp=severe, fbs=False",cp=asymptomatic,0.1087,0.7692,1.4268
disease,"cp=asymptomatic, sex=Male",0.1902,0.6604,1.4262
"no_disease, sex=Female",hr=high,0.1076,0.6875,1.4245
"bp=prehyper, fbs=False, no_disease",hr=high,0.1315,0.6875,1.4245
exang=False,no_disease,0.3652,0.6364,1.4245
no_disease,exang=False,0.3652,0.8175,1.4245
"fbs=False, slope=upsloping",dp=mild,0.1196,0.719,1.4224
"chol=high, dp=mild, fbs=False",exang=False,0.1348,0.8158,1.4215
"bp=hyper, no_disease",exang=False,0.1054,0.8151,1.4203
"age=50-60, exang=False",no_disease,0.1413,0.6341,1.4195
"cp=non-anginal, exang=False",hr=high,0.1087,0.6849,1.4192
"exang=False, fbs=False",hr=high,0.3,0.6849,1.4191
hr=high,"exang=False, fbs=False",0.3,0.6216,1.4191
"bp=prehyper, hr=high",dp=mild,0.1598,0.7171,1.4187
"dp=mild, fbs=False",exang=False,0.3348,0.8127,1.416
"bp=hyper, slope=flat",cp=asymptomatic,0.1087,0.7634,1.4159
"fbs=False, sex=Female",hr=high,0.1217,0.6829,1.4151
"age=40-50, hr=high",exang=False,0.112,0.811,1.4131
"dp=mild, exang=False",hr=high,0.2772,0.6818,1.4128
"ca=0.0, hr=high",exang=False,0.125,0.8099,1.4111
"ca=0.0, fbs=False, hr=high",exang=False,0.1109,0.8095,1.4105
"cp=non-anginal, exang=False",dp=mild,0.113,0.7123,1.4093
thal=reversable defect,"cp=asymptomatic, sex=Male",0.1359,0.651,1.406
"dp=severe, sex=Male",cp=asymptomatic,0.1293,0.758,1.4059
"chol=high, fbs=False, hr=high",no_disease,0.112,0.628,1.4059
"age=50-60, dp=mild, fbs=False",exang=False,0.1261,0.8056,1.4036
"ca=0.0, exang=False",dp=mild,0.1033,0.709,1.4027
"bp=prehyper, hr=high",exang=False,0.1793,0.8049,1.4024
"bp=prehyper, exang=False, fbs=False",hr=high,0.15,0.6765,1.4017
dp=mild,exang=False,0.4065,0.8043,1.4014
exang=False,dp=mild,0.4065,0.7083,1.4014
"no_disease, sex=Male",dp=mild,0.2054,0.7079,1.4005
"exang=False, slope=upsloping",dp=mild,0.1185,0.7078,1.4004
"disease, fbs=False, sex=Male",cp=asymptomatic,0.1337,0.7546,1.3997
dp=severe,cp=asymptomatic,0.1435,0.7543,1.3991
"bp=prehyper, dp=mild, sex=Male",no_disease,0.1087,0.625,1.399
"chol=normal, hr=medium, sex=Male",cp=asymptomatic,0.1,0.7541,1.3987
"cp=asymptomatic, exang=False, fbs=False",dp=mild,0.1022,0.7068,1.3983
"ca=0.0, no_disease",dp=mild,0.1022,0.7068,1.3983
"age=50-60, no_disease",exang=False,0.1413,0.8025,1.3982
"age=50-60, dp=mild",exang=False,0.1609,0.8,1.3939
"fbs=False, no_disease",hr=high,0.2576,0.6714,1.3912
"chol=borderline, no_disease",exang=False,0.1076,0.7984,1.3911
"bp=prehyper, hr=medium, sex=Male",cp=asymptomatic,0.1011,0.75,1.3911
"bp=prehyper, exang=False, sex=Male",no_disease,0.1207,0.6201,1.3881
"age=50-60, sex=Male, slope=flat",cp=asymptomatic,0.1,0.748,1.3874
"exang=False, fbs=False, sex=Male",hr=high,0.2,0.6691,1.3864
"chol=high, dp=mild",exang=False,0.1565,0.7956,1.3862
"disease, fbs=False",cp=asymptomatic,0.1511,0.7473,1.3861
"age=50-60, fbs=False, no_disease",exang=False,0.1141,0.7955,1.386
"fbs=False, thal=normal",exang=False,0.1435,0.7952,1.3855
"fbs=False, thal=reversable defect","cp=asymptomatic, sex=Male",0.1011,0.6414,1.3851
"fbs=False, thal=normal",dp=mild,0.1261,0.6988,1.3826
"chol=high, dp=mild, sex=Male",exang=False,0.1043,0.7934,1.3824
"disease, sex=Male",cp=asymptomatic,0.1902,0.7447,1.3813
disease,cp=asymptomatic,0.2141,0.7434,1.3789
slope=upsloping,no_disease,0.1359,0.6158,1.3784
age=40-50,"exang=False, fbs=False",0.1391,0.6038,1.3783
"exang=False, sex=Male",dp=mild,0.287,0.6966,1.3782
"dp=mild, fbs=False, sex=Male",no_disease,0.1826,0.6154,1.3775
"age=50-60, dp=mild, sex=Male",exang=False,0.1228,0.7902,1.3769
"fbs=False, no_disease, sex=Male",exang=False,0.1913,0.7892,1.3752
"hr=medium, sex=Male",cp=asymptomatic,0.2359,0.7406,1.3737
thal=normal,dp=mild,0.1478,0.6939,1.3728
hr=high,no_disease,0.2957,0.6126,1.3713
no_disease,hr=high,0.2957,0.6618,1.3713
"no_disease, sex=Male",exang=False,0.2283,0.7865,1.3704
"age=50-60, hr=medium, sex=Male",cp=asymptomatic,0.1043,0.7385,1.3697
thal=normal,exang=False,0.1674,0.7857,1.369
"fbs=False, hr=medium, sex=Male",cp=asymptomatic,0.1685,0.7381,1.369
"bp=prehyper, hr=high, sex=Male",dp=mild,0.1098,0.6918,1.3687
"age=50-60, no_disease",dp=mild,0.1217,0.6914,1.3678
sex=Female,hr=high,0.1391,0.6598,1.3671
"age=50-60, hr=high",no_disease,0.1141,0.6105,1.3665
"dp=mild, fbs=False, sex=Male",exang=False,0.2326,0.7839,1.3659
"dp=mild, exang=False, sex=Male",hr=high,0.1891,0.6591,1.3657
"bp=prehyper, hr=high, sex=Male",exang=False,0.1239,0.7808,1.3605
"fbs=False, sex=Female",exang=False,0.1391,0.7805,1.3599
"bp=prehyper, dp=mild",hr=high,0.1598,0.6562,1.3598
"chol=high, slope=flat",cp=asymptomatic,0.113,0.7324,1.3585
"bp=prehyper, exang=False",hr=high,0.1793,0.6548,1.3567
"fbs=False, no_disease, sex=Male",hr=high,0.1587,0.6547,1.3566
"sex=Male, thal=reversable defect",cp=asymptomatic,0.1359,0.731,1.3559
"age=50-60, dp=mild",no_disease,0.1217,0.6054,1.3552
"fbs=False, hr=high",exang=False,0.3,0.7775,1.3547
"fbs=False, hr=high",dp=mild,0.2641,0.6845,1.3543
"fbs=False, sex=Male, slope=flat",cp=asymptomatic,0.1609,0.7291,1.3523
"dp=moderate, sex=Male",cp=asymptomatic,0.1228,0.729,1.3522
"bp=prehyper, dp=mild, fbs=False",hr=high,0.1326,0.6524,1.3518
"ca=0.0, hr=high",dp=mild,0.1054,0.6831,1.3515
"sex=Male, slope=flat",cp=asymptomatic,0.2185,0.7283,1.3508
"dp=mild, sex=Male",exang=False,0.287,0.7742,1.349
"chol=normal, hr=medium",cp=asymptomatic,0.1065,0.7259,1.3465
"age=50-60, hr=medium","cp=asymptomatic, sex=Male",0.1043,0.6234,1.3463
"fbs=False, hr=high, sex=Male",no_disease,0.1587,0.6008,1.3449
"fbs=False, hr=high, sex=Male",dp=mild,0.1793,0.679,1.3434
"age=50-60, no_disease",hr=high,0.1141,0.6481,1.343
thal=reversable defect,cp=asymptomatic,0.1511,0.724,1.3428
"no_disease, sex=Male",hr=high,0.188,0.6479,1.3426
"chol=high, fbs=False, hr=high",dp=mild,0.1207,0.6768,1.3391
hr=medium,"cp=asymptomatic, sex=Male",0.2359,0.62,1.339
sex=Female,exang=False,0.162,0.768,1.3383
"chol=normal, dp=mild",exang=False,0.1196,0.7639,1.331
exang=False,hr=high,0.3685,0.642,1.3304
hr=high,exang=False,0.3685,0.7635,1.3304
"dp=mild, fbs=False",hr=high,0.2641,0.6412,1.3285
"chol=high, fbs=False, hr=high",exang=False,0.1359,0.7622,1.3281
