antecedents,consequents,support,confidence,lift
cp=atypical angina,"fbs=False, no_disease",0.1446,0.7644,1.9921
"cp=atypical angina, hr=high",no_disease,0.1207,0.888,1.9877
"cp=asymptomatic, slope=flat",exang=True,0.1913,0.7273,1.9854
"ca=0.0, thal=normal",no_disease,0.1109,0.887,1.9854
"cp=atypical angina, fbs=False",no_disease,0.1446,0.8867,1.9848
"exang=False, thal=normal","dp=mild, hr=high",0.1033,0.6169,1.9844
"cp=atypical angina, no_disease","dp=mild, exang=False",0.1315,0.8067,1.9843
"ca=0.0, exang=False","fbs=False, hr=high",0.1109,0.7612,1.9727
"disease, slope=flat",exang=True,0.113,0.7222,1.9716
"hr=high, thal=normal","exang=False, no_disease",0.1141,0.7192,1.9692
"ca=0.0, no_disease","fbs=False, hr=high",0.1098,0.7594,1.968
"bp=hyper, cp=asymptomatic, sex=Male",exang=True,0.1207,0.7208,1.9677
dp=severe,"exang=True, sex=Male",0.1196,0.6286,1.967
"exang=False, slope=upsloping","dp=mild, hr=high",0.1022,0.6104,1.9635
"ca=0.0, fbs=False, thal=normal",no_disease,0.1,0.8762,1.9613
"cp=asymptomatic, disease, exang=True",slope=flat,0.1022,0.7344,1.9583
cp=atypical angina,"dp=mild, exang=False, fbs=False",0.1239,0.6552,1.957
"fbs=False, slope=upsloping","dp=mild, hr=high",0.1011,0.6078,1.9553
"bp=hyper, cp=asymptomatic, fbs=False",exang=True,0.1011,0.7154,1.953
"age=40-50, dp=mild","exang=False, no_disease",0.1076,0.7122,1.9502
"cp=asymptomatic, dp=moderate",exang=True,0.1087,0.7143,1.95
"dp=mild, sex=Female",no_disease,0.1174,0.871,1.9496
"ca=0.0, exang=False","fbs=False, no_disease",0.1087,0.7463,1.9449
"cp=asymptomatic, hr=medium","exang=True, sex=Male",0.1641,0.6214,1.9445
cp=atypical angina,"dp=mild, hr=high",0.1141,0.6034,1.9412
"bp=hyper, cp=asymptomatic","exang=True, sex=Male",0.1207,0.6201,1.9405
"hr=medium, slope=flat","exang=True, sex=Male",0.113,0.619,1.9372
"dp=severe, fbs=False",exang=True,0.1,0.7077,1.932
"cp=asymptomatic, fbs=False, hr=medium",exang=True,0.1337,0.7069,1.9298
cp=atypical angina,no_disease,0.163,0.8621,1.9297
"ca=0.0, exang=False, hr=high",no_disease,0.1076,0.8609,1.927
"fbs=False, unknown","exang=True, sex=Male",0.1022,0.6144,1.9225
"dp=mild, slope=upsloping","exang=False, hr=high",0.1022,0.7068,1.9181
"dp=moderate, fbs=False",slope=flat,0.1141,0.7192,1.9178
"cp=atypical angina, no_disease","exang=False, hr=high",0.1152,0.7067,1.9178
"cp=atypical angina, hr=high","exang=False, fbs=False",0.1141,0.84,1.9176
"age=40-50, no_disease","dp=mild, exang=False",0.1076,0.7795,1.9176
"hr=medium, slope=flat",exang=True,0.1283,0.7024,1.9175
"bp=hyper, slope=flat",exang=True,0.1,0.7023,1.9172
"cp=asymptomatic, slope=flat","exang=True, sex=Male",0.1609,0.6116,1.9138
"dp=severe, sex=Male",exang=True,0.1196,0.7006,1.9127
"disease, exang=True",slope=flat,0.113,0.7172,1.9126
"hr=high, thal=normal","fbs=False, no_disease",0.1163,0.7329,1.91
"ca=0.0, hr=high","exang=False, no_disease",0.1076,0.6972,1.909
"bp=hyper, cp=asymptomatic",exang=True,0.1359,0.6983,1.9064
"dp=mild, hr=high","exang=False, no_disease",0.2163,0.6958,1.9052
"ca=0.0, exang=False",no_disease,0.1239,0.8507,1.9043
"fbs=False, sex=Female","exang=False, no_disease",0.1239,0.6951,1.9033
"cp=atypical angina, fbs=False","exang=False, hr=high",0.1141,0.7,1.8997
"cp=asymptomatic, hr=medium, sex=Male",exang=True,0.1641,0.6959,1.8997
"dp=mild, thal=normal","exang=False, hr=high",0.1033,0.6985,1.8957
"exang=False, sex=Female",no_disease,0.137,0.8456,1.8929
"cp=atypical angina, dp=mild","exang=False, fbs=False",0.1239,0.8261,1.8859
"cp=asymptomatic, disease, fbs=False",exang=True,0.1043,0.6906,1.8854
"fbs=False, sex=Male, slope=flat",exang=True,0.1522,0.6897,1.8827
"exang=False, hr=high, thal=normal",no_disease,0.1141,0.84,1.8803
"ca=0.0, dp=mild",no_disease,0.1022,0.8393,1.8787
"age=40-50, no_disease","dp=mild, fbs=False",0.1065,0.7717,1.8731
"fbs=False, hr=high, thal=normal",no_disease,0.1163,0.8359,1.8712
"slope=upsloping, thal=normal",hr=high,0.1011,0.9029,1.8709
"cp=atypical angina, fbs=False","dp=mild, exang=False",0.1239,0.76,1.8695
"ca=0.0, exang=False, fbs=False",no_disease,0.1087,0.8333,1.8654
"cp=asymptomatic, hr=medium",exang=True,0.1804,0.6831,1.8649
"exang=True, fbs=False, hr=medium",slope=flat,0.1087,0.6993,1.8648
"exang=False, fbs=False","dp=mild, no_disease",0.263,0.6005,1.8601
"dp=mild, no_disease","exang=False, fbs=False",0.263,0.8148,1.8601
"ca=0.0, hr=high","fbs=False, no_disease",0.1098,0.7113,1.8537
"exang=False, thal=normal","fbs=False, hr=high",0.1196,0.7143,1.8511
"cp=atypical angina, sex=Male",no_disease,0.1011,0.823,1.8423
"cp=asymptomatic, exang=True, fbs=False",slope=flat,0.1554,0.6908,1.8422
"cp=atypical angina, no_disease","exang=False, fbs=False",0.1315,0.8067,1.8415
dp=severe,exang=True,0.1283,0.6743,1.8408
"hr=high, thal=normal",no_disease,0.1304,0.8219,1.8398
cp=atypical angina,"dp=mild, exang=False",0.1413,0.7471,1.8379
